index_no,region_no,port_name,country,latitude,longitude,geog,geom
14610,14070,HUASCO,CL,-28.466667,-71.25,0101000020E61000000000000000D051C07777777777773CC0,0101000020E61000000000000000D051C07777777777773CC0
14630,14070,PUERTO CALDERA,CL,-27.05,-70.833333,0101000020E61000005555555555B551C0CDCCCCCCCC0C3BC0,0101000020E61000005555555555B551C0CDCCCCCCCC0C3BC0
14635,14070,PUERTO CALDERILLA,CL,-27.083333,-70.866667,0101000020E61000007777777777B751C05555555555153BC0,0101000020E61000007777777777B751C05555555555153BC0
14640,14070,PUERTO CHANARAL,CL,-26.35,-70.65,0101000020E61000009A99999999A951C09A99999999593AC0,0101000020E61000009A99999999A951C09A99999999593AC0
14650,14070,TALTAL,CL,-25.4,-70.483333,0101000020E6100000EFEEEEEEEE9E51C066666666666639C0,0101000020E6100000EFEEEEEEEE9E51C066666666666639C0
14660,14070,ANTOFAGASTA,CL,-23.65,-70.416667,0101000020E6100000ABAAAAAAAA9A51C06666666666A637C0,0101000020E6100000ABAAAAAAAA9A51C06666666666A637C0
14670,14070,MEJILLONES,CL,-23.1,-70.466667,0101000020E6100000DEDDDDDDDD9D51C09A999999991937C0,0101000020E6100000DEDDDDDDDD9D51C09A999999991937C0
14720,14070,TOCOPILLA,CL,-22.083333,-70.233333,0101000020E6100000EFEEEEEEEE8E51C055555555551536C0,0101000020E6100000EFEEEEEEEE8E51C055555555551536C0
14760,14070,IQUIQUE,CL,-20.2,-70.166667,0101000020E6100000ABAAAAAAAA8A51C033333333333334C0,0101000020E6100000ABAAAAAAAA8A51C033333333333334C0
14800,14070,RADA DE ARICA,CL,-18.466667,-70.333333,0101000020E610000055555555559551C077777777777732C0,0101000020E610000055555555559551C077777777777732C0
14840,14830,PUERTO ILO,PE,-17.633333,-71.366667,0101000020E61000007777777777D751C02222222222A231C0,0101000020E61000007777777777D751C02222222222A231C0
14860,14830,BAHIA DE MATARANI,PE,-17,-72.116667,0101000020E610000077777777770752C000000000000031C0,0101000020E610000077777777770752C000000000000031C0
14895,14830,BAHIA SAN NICOLAS,PE,-15.25,-75.233333,0101000020E6100000EFEEEEEEEECE52C00000000000802EC0,0101000020E6100000EFEEEEEEEECE52C00000000000802EC0
5150,5120,GARGANTUA,CA,47.566667,-84.966667,0101000020E6100000DEDDDDDDDD3D55C08988888888C84740,0101000020E6100000DEDDDDDDDD3D55C08988888888C84740
5160,5120,MICHIPICOTEN,CA,47.966667,-84.9,0101000020E61000009A999999993955C0BCBBBBBBBBFB4740,0101000020E61000009A999999993955C0BCBBBBBBBBFB4740
5170,5120,QUEBEC HARBOUR,CA,47.7,-85.8,0101000020E610000033333333337355C09A99999999D94740,0101000020E610000033333333337355C09A99999999D94740
5180,5120,HERON BAY,CA,48.65,-86.316667,0101000020E610000044444444449455C03333333333534840,0101000020E610000044444444449455C03333333333534840
5210,5120,THUNDER BAY,CA,48.4,-89.233333,0101000020E6100000EFEEEEEEEE4E56C03333333333334840,0101000020E6100000EFEEEEEEEE4E56C03333333333334840
5260,5230,GRAND MARAIS,US,46.683333,-85.966667,0101000020E6100000DEDDDDDDDD7D55C07777777777574740,0101000020E6100000DEDDDDDDDD7D55C07777777777574740
5270,5230,MUNISING,US,46.416667,-86.65,0101000020E61000009A99999999A955C05555555555354740,0101000020E61000009A99999999A955C05555555555354740
5280,5230,MARQUETTE,US,46.533333,-87.383333,0101000020E61000008988888888D855C04444444444444740,0101000020E61000008988888888D855C04444444444444740
5290,5230,PRESQUE ISLE,US,46.566667,-87.383333,0101000020E61000008988888888D855C08988888888484740,0101000020E61000008988888888D855C08988888888484740
5310,5230,L ANSE,US,46.766667,-88.466667,0101000020E6100000DEDDDDDDDD1D56C02222222222624740,0101000020E6100000DEDDDDDDDD1D56C02222222222624740
12070,11950,AMUAY (BAHIA DE AMUAY),VE,11.75,-70.233333,0101000020E6100000EFEEEEEEEE8E51C00000000000802740,0101000020E6100000EFEEEEEEEE8E51C00000000000802740
12090,11950,PUERTO CUMAREBO,VE,11.483333,-69.35,0101000020E610000066666666665651C07777777777F72640,0101000020E610000066666666665651C07777777777F72640
12115,11950,EL PALITO,VE,10.483333,-68.116667,0101000020E610000077777777770751C07777777777F72440,0101000020E610000077777777770751C07777777777F72440
42820,42640,KHIOS,GR,38.366667,26.133333,0101000020E61000002222222222223A40EFEEEEEEEE2E4340,0101000020E61000002222222222223A40EFEEEEEEEE2E4340
12120,11950,PUERTO CABELLO,VE,10.483333,-68,0101000020E610000000000000000051C07777777777F72440,0101000020E610000000000000000051C07777777777F72440
12150,11950,LA GUAIRA,VE,10.616667,-66.933333,0101000020E6100000BCBBBBBBBBBB50C0BCBBBBBBBB3B2540,0101000020E6100000BCBBBBBBBBBB50C0BCBBBBBBBB3B2540
12200,11950,GUANTA,VE,10.25,-64.583333,0101000020E610000055555555552550C00000000000802440,0101000020E610000055555555552550C00000000000802440
12210,11950,BAHIA DE PERTIGALETE,VE,10.233333,-64.566667,0101000020E610000044444444442450C07777777777772440,0101000020E610000044444444442450C07777777777772440
12260,11950,CARUPANO,VE,10.7,-63.25,0101000020E61000000000000000A04FC06666666666662540,0101000020E61000000000000000A04FC06666666666662540
12270,11950,GUIRIA,VE,10.566667,-62.3,0101000020E61000006666666666264FC02222222222222540,0101000020E61000006666666666264FC02222222222222540
12275,11950,PUERTO DE HIERRO,VE,10.633333,-62.1,0101000020E6100000CDCCCCCCCC0C4FC04444444444442540,0101000020E6100000CDCCCCCCCC0C4FC04444444444442540
